"ProbeSet","Chr","Mb"
"10338001","Un","1.0"
"10338002","Un","1.0"
"10338003","Un","1.0"
"10338004","Un","1.0"
"10338005","Un","1.0"
"10338006","Un","1.0"
"10338007","Un","1.0"
"10338008","Un","1.0"
"10338009","Un","1.0"
"10338010","Un","1.0"
"10338011","Un","1.0"
"10338012","Un","1.0"
"10338013","Un","1.0"
"10338014","Un","1.0"
"10338015","Un","1.0"
"10338016","Un","1.0"
"10338017","Un","1.0"
"10338018","Un","1.0"
"10338019","Un","1.0"
"10338020","Un","1.0"
"10338021","Un","1.0"
"10338022","Un","1.0"
"10338023","Un","1.0"
"10338024","Un","1.0"
"10338025","Un","1.0"
"10338026","Un","1.0"
"10338027","Un","1.0"
"10338028","Un","1.0"
"10338029","Un","1.0"
"10338030","Un","1.0"
"10338031","Un","1.0"
"10338032","Un","1.0"
"10338033","Un","1.0"
"10338034","Un","1.0"
"10338035","Un","1.0"
"10338036","Un","1.0"
"10338037","Un","1.0"
"10338038","Un","1.0"
"10338039","Un","1.0"
"10338040","Un","1.0"
"10338041","Un","1.0"
"10338042","Un","1.0"
"10338043","Un","1.0"
"10338044","Un","1.0"
"10338045","Un","1.0"
"10338046","Un","1.0"
"10338047","Un","1.0"
"10338048","Un","1.0"
"10338049","Un","1.0"
"10338050","Un","1.0"
"10338051","Un","1.0"
"10338052","Un","1.0"
"10338053","Un","1.0"
"10338054","Un","1.0"
"10338055","Un","1.0"
"10338056","Un","1.0"
"10338057","Un","1.0"
"10338058","Un","1.0"
"10338059","Un","1.0"
"10338060","Un","1.0"
"10338061","Un","1.0"
"10338062","Un","1.0"
"10338064","Un","1.0"
"10338065","Un","1.0"
"10338066","Un","1.0"
"10338067","Un","1.0"
"10338068","Un","1.0"
"10338069","Un","1.0"
"10338070","Un","1.0"
"10338071","Un","1.0"
"10338072","Un","1.0"
"10338073","Un","1.0"
"10338074","Un","1.0"
"10338075","Un","1.0"
"10338076","Un","1.0"
"10338077","11","102.913526"
"10338078","Un","1.0"
"10338079","Un","1.0"
"10338080","Un","1.0"
"10338081","Un","1.0"
"10338082","Un","1.0"
"10338083","Un","1.0"
"10338084","Un","1.0"
"10338085","Un","1.0"
"10338086","Un","1.0"
"10338087","Un","1.0"
"10338088","Un","1.0"
"10338089","Un","1.0"
"10338090","Un","1.0"
"10338091","Un","1.0"
"10338092","Un","1.0"
"10338093","Un","1.0"
"10338094","Un","1.0"
"10338095","14","55.233001"
"10338096","Un","1.0"
"10338097","Un","1.0"
"10338098","11","102.078942"
"10338099","Un","1.0"
"10338100","Un","1.0"
"10338101","Un","1.0"
"10338102","Un","1.0"
"10338103","Un","1.0"
"10338104","Un","1.0"
"10338105","Un","1.0"
"10338106","Un","1.0"
"10338107","Un","1.0"
"10338108","Un","1.0"
"10338109","16","31.846543"
"10338110","Un","1.0"
"10338111","Un","1.0"
"10338112","Un","1.0"
"10338113","Un","1.0"
"10338114","Un","1.0"
"10338115","Un","1.0"
"10338116","12","11.009945"
"10338117","Un","1.0"
"10338118","Un","1.0"
"10338119","Un","1.0"
"10338120","Un","1.0"
"10338121","Un","1.0"
"10338122","5","130.275819"
"10338123","1","174.051832"
"10338124","Un","1.0"
"10338125","Un","1.0"
"10338126","Un","1.0"
"10338127","Un","1.0"
"10338128","Un","1.0"
"10338129","Un","1.0"
"10338130","Un","1.0"
"10338131","Un","1.0"
"10338132","Un","1.0"
"10338133","Un","1.0"
"10338134","Un","1.0"
"10338135","Un","1.0"
"10338136","Un","1.0"
"10338137","Un","1.0"
"10338138","Un","1.0"
"10338139","Un","1.0"
"10338140","Un","1.0"
"10338141","Un","1.0"
"10338142","Un","1.0"
"10338143","Un","1.0"
"10338144","17","24.841397"
"10338145","Un","1.0"
"10338146","Un","1.0"
"10338147","Un","1.0"
"10338148","Un","1.0"
"10338149","Un","1.0"
"10338150","Un","1.0"
"10338151","Un","1.0"
"10338152","Un","1.0"
"10338153","Un","1.0"
"10338154","Un","1.0"
"10338155","Un","1.0"
"10338156","Un","1.0"
"10338157","Un","1.0"
"10338158","Un","1.0"
"10338159","Un","1.0"
"10338160","Un","1.0"
"10338161","Un","1.0"
"10338162","Un","1.0"
"10338163","Un","1.0"
"10338164","Un","1.0"
"10338165","Un","1.0"
"10338166","Un","1.0"
"10338167","Un","1.0"
"10338168","19","46.346483"
"10338169","Un","1.0"
"10338170","Un","1.0"
"10338171","Un","1.0"
"10338172","Un","1.0"
"10338173","15","78.977349"
"10338174","Un","1.0"
"10338175","Un","1.0"
"10338176","Un","1.0"
"10338177","Un","1.0"
"10338178","Un","1.0"
"10338179","Un","1.0"
"10338180","4","137.778022"
"10338181","Un","1.0"
"10338182","Un","1.0"
"10338183","Un","1.0"
"10338184","Un","1.0"
"10338185","Un","1.0"
"10338186","Un","1.0"
"10338187","Un","1.0"
"10338188","Un","1.0"
"10338189","Un","1.0"
"10338190","Un","1.0"
"10338191","Un","1.0"
"10338192","Un","1.0"
"10338193","Un","1.0"
"10338194","Un","1.0"
"10338195","Un","1.0"
"10338196","Un","1.0"
"10338197","Un","1.0"
"10338198","Un","1.0"
"10338199","Un","1.0"
"10338200","Un","1.0"
"10338201","Un","1.0"
"10338202","Un","1.0"
"10338203","Un","1.0"
"10338204","Un","1.0"
"10338205","Un","1.0"
"10338206","Un","1.0"
"10338207","Un","1.0"
"10338208","Un","1.0"
"10338209","Un","1.0"
"10338210","Un","1.0"
"10338211","Un","1.0"
"10338212","Un","1.0"
"10338213","Un","1.0"
"10338214","Un","1.0"
"10338215","Un","1.0"
"10338216","Un","1.0"
"10338217","Un","1.0"
"10338218","Un","1.0"
"10338219","Un","1.0"
"10338220","Un","1.0"
"10338221","6","83.005545"
"10338222","Un","1.0"
"10338223","Un","1.0"
"10338224","Un","1.0"
"10338225","Un","1.0"
"10338226","Un","1.0"
"10338227","Un","1.0"
"10338228","Un","1.0"
"10338229","Un","1.0"
"10338230","Un","1.0"
"10338231","Un","1.0"
"10338232","Un","1.0"
"10338233","Un","1.0"
"10338234","Un","1.0"
"10338235","Un","1.0"
"10338236","Un","1.0"
"10338237","Un","1.0"
"10338238","Un","1.0"
"10338239","Un","1.0"
"10338240","Un","1.0"
"10338241","Un","1.0"
"10338242","Un","1.0"
"10338243","Un","1.0"
"10338244","Un","1.0"
"10338245","Un","1.0"
"10338246","Un","1.0"
"10338247","Un","1.0"
"10338248","Un","1.0"
"10338249","Un","1.0"
"10338250","Un","1.0"
"10338251","Un","1.0"
"10338252","Un","1.0"
"10338253","Un","1.0"
"10338254","Un","1.0"
"10338255","Un","1.0"
"10338256","Un","1.0"
"10338257","Un","1.0"
"10338258","Un","1.0"
"10338259","Un","1.0"
"10338260","Un","1.0"
"10338261","Un","1.0"
"10338262","Un","1.0"
"10338263","Un","1.0"
"10338264","Un","1.0"
"10338265","Un","1.0"
"10338266","Un","1.0"
"10338267","Un","1.0"
"10338268","Un","1.0"
"10338269","Un","1.0"
"10338270","Un","1.0"
"10338271","Un","1.0"
"10338272","Un","1.0"
"10338273","Un","1.0"
"10338274","Un","1.0"
"10338275","Un","1.0"
"10338276","Un","1.0"
"10338277","Un","1.0"
"10338278","Un","1.0"
"10338279","Un","1.0"
"10338280","Un","1.0"
"10338281","Un","1.0"
"10338282","Un","1.0"
"10338283","Un","1.0"
"10338284","Un","1.0"
"10338285","Un","1.0"
"10338286","Un","1.0"
"10338287","Un","1.0"
"10338288","Un","1.0"
"10338289","Un","1.0"
"10338290","Un","1.0"
"10338291","Un","1.0"
"10338292","2","155.043784"
"10338293","Un","1.0"
"10338294","Un","1.0"
"10338295","Un","1.0"
"10338296","Un","1.0"
"10338297","Un","1.0"
"10338298","1","174.040673"
"10338299","Un","1.0"
"10338300","Un","1.0"
"10338301","Un","1.0"
"10338302","Un","1.0"
"10338303","Un","1.0"
"10338304","Un","1.0"
"10338305","Un","1.0"
"10338306","Un","1.0"
"10338307","Un","1.0"
"10338308","Un","1.0"
"10338309","Un","1.0"
"10338310","Un","1.0"
"10338311","Un","1.0"
"10338312","Un","1.0"
"10338313","Un","1.0"
"10338314","Un","1.0"
"10338315","Un","1.0"
"10338316","Un","1.0"
"10338317","Un","1.0"
"10338318","Un","1.0"
"10338319","Un","1.0"
"10338320","Un","1.0"
"10338321","Un","1.0"
"10338322","Un","1.0"
"10338323","Un","1.0"
"10338324","Un","1.0"
"10338325","Un","1.0"
"10338326","Un","1.0"
"10338327","Un","1.0"
"10338328","Un","1.0"
"10338329","Un","1.0"
"10338330","Un","1.0"
"10338331","Un","1.0"
"10338332","Un","1.0"
"10338333","Un","1.0"
"10338334","Un","1.0"
"10338335","Un","1.0"
"10338336","Un","1.0"
"10338337","Un","1.0"
"10338338","Un","1.0"
"10338339","Un","1.0"
"10338340","Un","1.0"
"10338341","Un","1.0"
"10338342","Un","1.0"
"10338343","Un","1.0"
"10338344","Un","1.0"
"10338345","Un","1.0"
"10338346","Un","1.0"
"10338347","Un","1.0"
"10338348","Un","1.0"
"10338349","Un","1.0"
"10338350","Un","1.0"
"10338351","Un","1.0"
"10338352","Un","1.0"
"10338353","Un","1.0"
"10338354","Un","1.0"
"10338355","Un","1.0"
"10338356","Un","1.0"
"10338357","Un","1.0"
"10338358","Un","1.0"
"10338359","Un","1.0"
"10338360","Un","1.0"
"10338361","Un","1.0"
"10338362","Un","1.0"
"10338363","Un","1.0"
"10338364","Un","1.0"
"10338365","Un","1.0"
"10338366","Un","1.0"
"10338367","Un","1.0"
"10338368","Un","1.0"
"10338369","Un","1.0"
"10338370","Un","1.0"
"10338371","Un","1.0"
"10338372","Un","1.0"
"10338373","Un","1.0"
"10338374","Un","1.0"
"10338375","Un","1.0"
"10338376","Un","1.0"
"10338377","Un","1.0"
"10338378","Un","1.0"
"10338379","Un","1.0"
"10338380","Un","1.0"
"10338381","Un","1.0"
"10338382","Un","1.0"
"10338383","Un","1.0"
"10338384","Un","1.0"
"10338385","Un","1.0"
